model,uid,phenomenon,group,lp_good,lp_bad,ntok_good,ntok_bad,prob_correct,prompt_margin_ab,prompt_margin_ba,prompt_correct
google/gemma-3-12b-pt,adjective_agreement_0000,adjective_agreement,"masc noun, neut adj",-33.97304916381836,-40.616058349609375,7,7,1,0.6154747009277344,3.4604833722114563,1
google/gemma-3-12b-pt,adjective_agreement_0001,adjective_agreement,"neut noun, femn adj",-31.941112518310547,-42.01804733276367,6,6,1,0.9223326444625854,3.69073486328125,1
google/gemma-3-12b-pt,adjective_agreement_0002,adjective_agreement,"femn noun, masc adj",-37.356056213378906,-39.034629821777344,6,6,1,0.19113540649414062,2.6592655777931213,1
google/gemma-3-12b-pt,adjective_agreement_0003,adjective_agreement,"femn noun, neut adj",-37.1818733215332,-49.37727355957031,7,7,1,0.1917724609375,3.0931186079978943,1
google/gemma-3-12b-pt,adjective_agreement_0004,adjective_agreement,"neut noun, masc adj",-34.25948715209961,-39.85102081298828,7,7,1,-0.6218013763427734,3.6806660294532776,1
google/gemma-3-12b-pt,adjective_agreement_0005,adjective_agreement,"neut noun, femn adj",-41.213096618652344,-44.80970001220703,6,6,1,-0.23352622985839844,3.223857879638672,1
google/gemma-3-12b-pt,adjective_agreement_0006,adjective_agreement,"femn noun, neut adj",-40.5002555847168,-46.50738525390625,5,5,1,-0.5002632141113281,2.8946971893310547,1
google/gemma-3-12b-pt,adjective_agreement_0007,adjective_agreement,"femn noun, masc adj",-45.178253173828125,-49.79197692871094,9,10,1,-0.4775981903076172,2.3696783781051636,1
google/gemma-3-12b-pt,adjective_agreement_0008,adjective_agreement,"femn noun, masc adj",-43.265098571777344,-50.0438232421875,5,5,1,0.009765625,2.808841824531555,1
google/gemma-3-12b-pt,adjective_agreement_0009,adjective_agreement,"neut noun, masc adj",-40.234039306640625,-44.002052307128906,7,7,1,-0.029291152954101562,3.356470227241516,1
google/gemma-3-12b-pt,adjective_agreement_0010,adjective_agreement,"masc noun, neut adj",-37.934959411621094,-43.84968948364258,8,8,1,-0.015644073486328125,2.8256741762161255,1
google/gemma-3-12b-pt,adjective_agreement_0011,adjective_agreement,"femn noun, masc adj",-39.43752670288086,-43.304046630859375,7,8,1,0.08432388305664062,2.677654206752777,1
google/gemma-3-12b-pt,adjective_agreement_0012,adjective_agreement,"masc noun, neut adj",-43.194427490234375,-45.849403381347656,11,11,1,-0.1470470428466797,3.1352157592773438,1
google/gemma-3-12b-pt,adjective_agreement_0013,adjective_agreement,"masc noun, neut adj",-36.09238815307617,-41.0072021484375,6,7,1,-0.15412330627441406,3.201614260673523,1
google/gemma-3-12b-pt,adjective_agreement_0014,adjective_agreement,"neut noun, femn adj",-39.1065788269043,-44.839683532714844,5,5,1,-0.10182952880859375,2.322847306728363,1
google/gemma-3-12b-pt,adjective_agreement_0015,adjective_agreement,"neut noun, masc adj",-41.216732025146484,-45.803016662597656,9,9,1,0.7679958343505859,3.7390080094337463,1
google/gemma-3-12b-pt,adjective_agreement_0016,adjective_agreement,"neut noun, femn adj",-44.43180847167969,-45.49414825439453,5,5,1,0.8927003145217896,3.488872706890106,1
google/gemma-3-12b-pt,adjective_agreement_0017,adjective_agreement,"neut noun, femn adj",-34.03532409667969,-41.28657531738281,7,6,1,0.7181798219680786,3.1096763610839844,1
google/gemma-3-12b-pt,adjective_agreement_0018,adjective_agreement,"neut noun, femn adj",-43.24040985107422,-46.9107666015625,5,5,1,1.1218794584274292,3.0629729628562927,1
google/gemma-3-12b-pt,adjective_agreement_0019,adjective_agreement,"neut noun, masc adj",-41.70867919921875,-43.631614685058594,11,11,1,0.6117382049560547,3.6983166933059692,1
google/gemma-3-12b-pt,adjective_agreement_0020,adjective_agreement,"neut noun, masc adj",-36.76112365722656,-43.95293426513672,6,5,1,0.4827556610107422,3.052024722099304,1
google/gemma-3-12b-pt,adjective_agreement_0021,adjective_agreement,"masc noun, femn adj",-38.531044006347656,-44.75743865966797,6,6,1,0.08458518981933594,3.7413158416748047,1
google/gemma-3-12b-pt,adjective_agreement_0022,adjective_agreement,"femn noun, masc adj",-41.56871795654297,-50.52899932861328,6,6,1,0.27612876892089844,3.1285191774368286,1
google/gemma-3-12b-pt,adjective_agreement_0023,adjective_agreement,"femn noun, neut adj",-39.11745834350586,-46.03282165527344,6,7,1,-0.13906097412109375,2.841501235961914,1
google/gemma-3-12b-pt,adjective_agreement_0024,adjective_agreement,"femn noun, masc adj",-40.05870819091797,-43.52656555175781,7,6,1,-0.19862747192382812,2.8800869584083557,1
google/gemma-3-12b-pt,adjective_agreement_0025,adjective_agreement,"femn noun, neut adj",-38.71013641357422,-46.16578674316406,6,6,1,-0.1716747283935547,2.582857131958008,1
google/gemma-3-12b-pt,adjective_agreement_0026,adjective_agreement,"femn noun, neut adj",-45.541725158691406,-51.843055725097656,10,10,1,0.49815940856933594,3.429136097431183,1
google/gemma-3-12b-pt,adjective_agreement_0027,adjective_agreement,"femn noun, masc adj",-41.93004608154297,-44.808258056640625,7,7,1,0.15781021118164062,2.8780843019485474,1
google/gemma-3-12b-pt,adjective_agreement_0028,adjective_agreement,"neut noun, masc adj",-40.87213134765625,-42.087772369384766,7,6,1,-0.284881591796875,3.014734208583832,1
google/gemma-3-12b-pt,adjective_agreement_0029,adjective_agreement,"masc noun, neut adj",-39.72304153442383,-43.63890075683594,6,7,1,-0.06967544555664062,3.1237794160842896,1
google/gemma-3-12b-pt,adjective_agreement_0030,adjective_agreement,"femn noun, neut adj",-40.060997009277344,-47.24775314331055,5,5,1,-0.496246337890625,2.6310235261917114,1
google/gemma-3-12b-pt,adjective_agreement_0031,adjective_agreement,"femn noun, masc adj",-42.404579162597656,-50.819602966308594,10,9,1,0.5336265563964844,3.420128047466278,1
