model,uid,phenomenon,group,lp_good,lp_bad,ntok_good,ntok_bad,prob_correct,prompt_margin_ab,prompt_margin_ba,prompt_correct
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0000,adjective_agreement,"masc noun, neut adj",-43.45899200439453,-44.46662139892578,7,7,1,1.3281251192092896,-1.4609375,0
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0001,adjective_agreement,"neut noun, femn adj",-41.46556091308594,-40.05986022949219,7,7,0,1.3828125,-1.0703125,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0002,adjective_agreement,"femn noun, masc adj",-38.77411651611328,-47.931358337402344,7,7,1,1.9453125596046448,-1.6484375,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0003,adjective_agreement,"femn noun, neut adj",-49.28117752075195,-50.855018615722656,8,8,1,2.3671875,-1.875,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0004,adjective_agreement,"neut noun, masc adj",-54.596954345703125,-52.436012268066406,8,8,0,1.765625,-1.6484375,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0005,adjective_agreement,"neut noun, femn adj",-69.14530944824219,-65.85782623291016,8,8,0,1.703125,-2.1640626192092896,0
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0006,adjective_agreement,"femn noun, neut adj",-64.02787017822266,-70.53167724609375,7,7,1,2.0625,-1.8203125,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0007,adjective_agreement,"femn noun, masc adj",-72.94682312011719,-72.0206069946289,9,10,0,1.7421876192092896,-1.6562501192092896,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0008,adjective_agreement,"femn noun, masc adj",-55.903480529785156,-57.868492126464844,6,6,1,2.6406251192092896,-1.6875,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0009,adjective_agreement,"neut noun, masc adj",-62.85895919799805,-54.18169403076172,8,9,0,2.5703123807907104,-2.6015625,0
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0010,adjective_agreement,"masc noun, neut adj",-45.168983459472656,-55.01277160644531,8,8,1,0.8125,-1.2343751192092896,0
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0011,adjective_agreement,"femn noun, masc adj",-46.63126754760742,-50.51079559326172,8,8,1,2.09375,-1.984375,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0012,adjective_agreement,"masc noun, neut adj",-75.94554138183594,-69.35029602050781,11,11,0,1.3515626192092896,-1.4531248807907104,0
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0013,adjective_agreement,"masc noun, neut adj",-47.187034606933594,-45.434722900390625,7,7,0,0.5156251192092896,-0.90625,0
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0014,adjective_agreement,"neut noun, femn adj",-46.950435638427734,-45.350868225097656,7,7,0,1.6250001192092896,-2.1171873807907104,0
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0015,adjective_agreement,"neut noun, masc adj",-61.59306335449219,-69.90247344970703,9,9,1,1.359375,-1.21875,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0016,adjective_agreement,"neut noun, femn adj",-60.53582763671875,-59.307640075683594,6,6,0,1.8203125,-1.9218748807907104,0
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0017,adjective_agreement,"neut noun, femn adj",-53.793636322021484,-54.47492218017578,8,8,1,1.6171875,-1.7109375,0
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0018,adjective_agreement,"neut noun, femn adj",-63.84138488769531,-64.06503295898438,6,6,1,1.8671875,-2.4687501192092896,0
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0019,adjective_agreement,"neut noun, masc adj",-65.65132904052734,-73.8188247680664,10,10,1,1.0468751192092896,-1.1562498807907104,0
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0020,adjective_agreement,"neut noun, masc adj",-43.28370666503906,-47.24853515625,7,7,1,1.6171875,-1.3203125,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0021,adjective_agreement,"masc noun, femn adj",-56.60373306274414,-54.52716064453125,6,6,0,2.6874998807907104,-2.59375,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0022,adjective_agreement,"femn noun, masc adj",-44.671974182128906,-53.557762145996094,7,7,1,2.5312501192092896,-1.890625,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0023,adjective_agreement,"femn noun, neut adj",-50.21988296508789,-49.57643127441406,7,8,0,1.6718748807907104,-1.328125,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0024,adjective_agreement,"femn noun, masc adj",-41.303558349609375,-44.56132125854492,8,8,1,1.7421876192092896,-1.6875,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0025,adjective_agreement,"femn noun, neut adj",-53.3994140625,-57.007625579833984,6,6,1,1.0546873807907104,-0.8828125,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0026,adjective_agreement,"femn noun, neut adj",-73.50279235839844,-75.21636962890625,11,11,1,1.2109375,-1.3359375,0
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0027,adjective_agreement,"femn noun, masc adj",-45.13154602050781,-48.90769577026367,8,8,1,2.5625,-2.1875,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0028,adjective_agreement,"neut noun, masc adj",-61.26561737060547,-60.823753356933594,8,8,0,1.1875,-1.265625,0
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0029,adjective_agreement,"masc noun, neut adj",-59.53728485107422,-63.05638885498047,8,8,1,1.2265626192092896,-0.9921875,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0030,adjective_agreement,"femn noun, neut adj",-60.23636245727539,-63.573951721191406,6,6,1,1.921875,-1.4765623807907104,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0031,adjective_agreement,"femn noun, masc adj",-65.35113525390625,-72.27850341796875,10,10,1,1.4609375,-1.3515625,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0032,adjective_agreement,"masc noun, neut adj",-45.60700225830078,-47.75082015991211,8,8,1,0.7890626192092896,-1.0,0
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0033,adjective_agreement,"femn noun, neut adj",-36.483238220214844,-40.34752655029297,7,7,1,1.34375,-1.2109375,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0034,adjective_agreement,"femn noun, masc adj",-43.0399055480957,-50.104801177978516,7,7,1,1.7499998807907104,-1.5468748807907104,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0035,adjective_agreement,"femn noun, neut adj",-76.52801513671875,-75.6541748046875,10,10,0,1.609375,-1.0390625,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0036,adjective_agreement,"femn noun, neut adj",-50.65988540649414,-54.33172607421875,6,6,1,1.3203125,-1.5546873807907104,0
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0037,adjective_agreement,"masc noun, femn adj",-52.384796142578125,-51.36756896972656,7,7,0,1.5312498807907104,-2.874999761581421,0
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0038,adjective_agreement,"femn noun, masc adj",-72.007080078125,-75.5262451171875,11,11,1,1.578125,-1.6953125,0
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0039,adjective_agreement,"femn noun, masc adj",-46.47102355957031,-54.3043098449707,7,7,1,2.359375,-2.0312498807907104,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0040,adjective_agreement,"neut noun, femn adj",-74.4946517944336,-78.27044677734375,11,11,1,2.0625,-1.9609375,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0041,adjective_agreement,"femn noun, masc adj",-48.82101058959961,-51.96288299560547,6,7,1,3.09375,-2.3671875,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0042,adjective_agreement,"femn noun, masc adj",-60.209434509277344,-64.51153564453125,7,7,1,2.625,-0.7890626192092896,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0043,adjective_agreement,"masc noun, femn adj",-49.911014556884766,-58.24604797363281,7,6,1,2.34375,-2.6093751192092896,0
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0044,adjective_agreement,"neut noun, masc adj",-77.31742858886719,-75.64266204833984,12,13,0,2.0703123807907104,-1.8046875,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0045,adjective_agreement,"masc noun, neut adj",-44.61824417114258,-51.7830810546875,7,7,1,1.84375,-1.890625,0
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0046,adjective_agreement,"neut noun, femn adj",-57.86170959472656,-56.08455276489258,8,8,0,1.625,-2.5390626192092896,0
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0047,adjective_agreement,"neut noun, masc adj",-59.451297760009766,-47.35381317138672,9,9,0,1.7265625,-1.4765623807907104,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0048,adjective_agreement,"neut noun, femn adj",-48.5469970703125,-51.386173248291016,7,6,1,1.5859375,-1.4609375,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0049,adjective_agreement,"femn noun, neut adj",-41.13206100463867,-46.410011291503906,8,8,1,2.3984375,-1.8203125,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0050,adjective_agreement,"masc noun, neut adj",-68.27589416503906,-72.22284698486328,10,10,1,1.5937501192092896,-1.2656248807907104,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0051,adjective_agreement,"masc noun, neut adj",-67.52576446533203,-75.53179931640625,11,11,1,1.3203125,-1.1328126192092896,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0052,adjective_agreement,"femn noun, neut adj",-45.72439193725586,-53.34220504760742,7,7,1,1.6406251192092896,0.0546875,1
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0053,adjective_agreement,"femn noun, masc adj",-70.64442443847656,-75.39055633544922,11,11,1,1.4609375,-1.59375,0
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0054,adjective_agreement,"neut noun, masc adj",-51.03362274169922,-53.821189880371094,8,8,1,2.1171875,-2.609375,0
meta-llama/Llama-3.2-1B-Instruct,adjective_agreement_0055,adjective_agreement,"femn noun, masc adj",-39.15723419189453,-43.69268035888672,7,7,1,1.9062501192092896,-1.6874998807907104,1
