# group	sentence_good	sentence_bad
# Government: the normative case/preposition vs. the pattern imported from Russian.
# STATUS: CONFIRMED - every group checked against a normative source.
# Avoided: nouns whose genitive and dative coincide (історії); disputed: сміятися з/над.
дякувати кому	Дякую вам за допомогу.	Дякую вас за допомогу.
дякувати кому	Щиро дякую тобі.	Щиро дякую тебе.
дякувати кому	Ми дякуємо їм за підтримку.	Ми дякуємо їх за підтримку.
дякувати кому	Вона подякувала йому.	Вона подякувала його.
дякувати кому	Він дякує нам за роботу.	Він дякує нас за роботу.
дякувати кому	Дякую тобі за пораду.	Дякую тебе за пораду.
вибачати кому	Вибачте мені, будь ласка.	Вибачте мене, будь ласка.
вибачати кому	Вибач нам за запізнення.	Вибач нас за запізнення.
вибачати кому	Вона вибачила йому.	Вона вибачила його.
вибачати кому	Вибачте нам за незручності.	Вибачте нас за незручності.
вибачати кому	Я вибачаю тобі.	Я вибачаю тебе.
навчати чого	Він навчає дітей математики.	Він навчає дітей математиці.
навчати чого	Мама навчила мене малювання.	Мама навчила мене малюванню.
навчати чого	Викладач навчає нас фізики.	Викладач навчає нас фізиці.
навчати чого	Тренер навчає їх плавання.	Тренер навчає їх плаванню.
вчитися чого	Вони вчаться програмування.	Вони вчаться програмуванню.
вчитися чого	Я вчуся музики.	Я вчуся музиці.
вчитися чого	Діти вчаться плавання.	Діти вчаться плаванню.
вчитися чого	Вона вчиться малювання.	Вона вчиться малюванню.
опанувати що	Вона опанувала мову.	Вона опанувала мовою.
опанувати що	Треба опанувати матеріал.	Треба опанувати матеріалом.
опанувати що	Він швидко опанував професію.	Він швидко опанував професією.
опанувати що	Студенти опанували програму.	Студенти опанували програмою.
оволодіти чим	Він оволодів мовою.	Він оволодів мову.
оволодіти чим	Вона оволоділа професією.	Вона оволоділа професію.
оволодіти чим	Треба оволодіти матеріалом.	Треба оволодіти матеріал.
хворіти на що	Дитина хворіє на грип.	Дитина хворіє грипом.
хворіти на що	Він захворів на застуду.	Він захворів застудою.
хворіти на що	Вона довго хворіла на ангіну.	Вона довго хворіла ангіною.
одружитися з ким	Він одружився з Оксаною.	Він одружився на Оксані.
одружитися з ким	Андрій одружується з Марією.	Андрій одружується на Марії.
одружитися з ким	Мій брат одружився з однокласницею.	Мій брат одружився на однокласниці.
сумувати за ким	Я сумую за тобою.	Я сумую по тобі.
сумувати за ким	Мама сумує за сином.	Мама сумує по сину.
сумувати за ким	Ми сумуємо за домом.	Ми сумуємо по дому.
розмовляти мовою	Він розмовляє українською.	Він розмовляє на українській.
розмовляти мовою	Вона добре говорить англійською.	Вона добре говорить на англійській.
розмовляти мовою	Ми спілкуємося українською.	Ми спілкуємося на українській.
розмовляти мовою	Вони розмовляють польською.	Вони розмовляють на польській.
розмовляти мовою	Я вільно говорю німецькою.	Я вільно говорю на німецькій.
розмовляти мовою	Він пише українською.	Він пише на українській.
вибачати кому	Вона вибачила нам.	Вона вибачила нас.
навчати чого	Батько навчив сина рибальства.	Батько навчив сина рибальству.
навчати чого	Школа навчає учнів програмування.	Школа навчає учнів програмуванню.
вчитися чого	Я вчуся водіння.	Я вчуся водінню.
вчитися чого	Ми вчимося танців.	Ми вчимося танцям.
опанувати що	Він опанував гітару.	Він опанував гітарою.
опанувати що	Діти опановують грамоту.	Діти опановують грамотою.
оволодіти чим	Вона оволоділа гітарою.	Вона оволоділа гітару.
оволодіти чим	Студент оволодів методикою.	Студент оволодів методику.
оволодіти чим	Ми оволоділи ситуацією.	Ми оволоділи ситуацію.
хворіти на що	Він хворіє на діабет.	Він хворіє діабетом.
хворіти на що	Багато людей хворіють на грип.	Багато людей хворіють грипом.
хворіти на що	Моя бабуся хворіє на астму.	Моя бабуся хворіє астмою.
одружитися з ким	Петро одружився з Ольгою.	Петро одружився на Ользі.
одружитися з ким	Він хоче одружитися з нею.	Він хоче одружитися на ній.
одружитися з ким	Мій друг одружився з іноземкою.	Мій друг одружився на іноземці.
сумувати за ким	Діти сумують за батьком.	Діти сумують по батьку.
сумувати за ким	Я сумую за літом.	Я сумую по літу.
сумувати за ким	Вона сумує за подругою.	Вона сумує по подрузі.
