model,uid,phenomenon,group,lp_good,lp_bad,ntok_good,ntok_bad,prob_correct,prompt_margin_ab,prompt_margin_ba,prompt_correct
meta-llama/Llama-3.2-3B,adjective_agreement_0000,adjective_agreement,"masc noun, neut adj",-44.777931213378906,-49.05029296875,7,7,1,0.3515625,-0.3125,1
meta-llama/Llama-3.2-3B,adjective_agreement_0001,adjective_agreement,"neut noun, femn adj",-44.68153381347656,-42.89933776855469,7,7,0,0.3984374403953552,-0.359375,1
meta-llama/Llama-3.2-3B,adjective_agreement_0002,adjective_agreement,"femn noun, masc adj",-44.712135314941406,-47.1016845703125,7,7,1,0.4218750596046448,-0.3203125,1
meta-llama/Llama-3.2-3B,adjective_agreement_0003,adjective_agreement,"femn noun, neut adj",-49.84759521484375,-52.778541564941406,8,8,1,0.3828124403953552,-0.328125,1
meta-llama/Llama-3.2-3B,adjective_agreement_0004,adjective_agreement,"neut noun, masc adj",-45.04170227050781,-47.923519134521484,8,8,1,0.2578125,-0.21874994039535522,1
meta-llama/Llama-3.2-3B,adjective_agreement_0005,adjective_agreement,"neut noun, femn adj",-41.7128791809082,-43.805686950683594,8,8,1,0.328125,-0.3828125,0
meta-llama/Llama-3.2-3B,adjective_agreement_0006,adjective_agreement,"femn noun, neut adj",-44.627532958984375,-44.384090423583984,7,7,0,0.3984375,-0.3593750596046448,1
meta-llama/Llama-3.2-3B,adjective_agreement_0007,adjective_agreement,"femn noun, masc adj",-48.6009521484375,-51.43433380126953,9,10,1,0.24218755960464478,-0.140625,1
meta-llama/Llama-3.2-3B,adjective_agreement_0008,adjective_agreement,"femn noun, masc adj",-35.626075744628906,-41.56606674194336,6,6,1,0.328125,-0.28125,1
meta-llama/Llama-3.2-3B,adjective_agreement_0009,adjective_agreement,"neut noun, masc adj",-45.40726852416992,-46.89630126953125,8,9,1,0.3203125,-0.328125,0
meta-llama/Llama-3.2-3B,adjective_agreement_0010,adjective_agreement,"masc noun, neut adj",-49.79542541503906,-52.133216857910156,8,8,1,0.3750000596046448,-0.203125,1
meta-llama/Llama-3.2-3B,adjective_agreement_0011,adjective_agreement,"femn noun, masc adj",-43.62449645996094,-49.15162658691406,8,8,1,0.375,-0.3125,1
meta-llama/Llama-3.2-3B,adjective_agreement_0012,adjective_agreement,"masc noun, neut adj",-46.38688659667969,-51.596717834472656,11,11,1,0.21875,-0.0625,1
meta-llama/Llama-3.2-3B,adjective_agreement_0013,adjective_agreement,"masc noun, neut adj",-33.70109558105469,-37.321693420410156,7,7,1,0.4296875,-0.1875,1
meta-llama/Llama-3.2-3B,adjective_agreement_0014,adjective_agreement,"neut noun, femn adj",-49.67518997192383,-48.15510177612305,7,7,0,0.4609375596046448,-0.3750000596046448,1
meta-llama/Llama-3.2-3B,adjective_agreement_0015,adjective_agreement,"neut noun, masc adj",-41.15311813354492,-44.603912353515625,9,9,1,0.1484375,-0.1171875,1
meta-llama/Llama-3.2-3B,adjective_agreement_0016,adjective_agreement,"neut noun, femn adj",-38.610748291015625,-44.82246398925781,6,6,1,0.1640625,-0.1484375,1
meta-llama/Llama-3.2-3B,adjective_agreement_0017,adjective_agreement,"neut noun, femn adj",-43.10819625854492,-46.18230438232422,8,8,1,0.390625,-0.2656249403953552,1
meta-llama/Llama-3.2-3B,adjective_agreement_0018,adjective_agreement,"neut noun, femn adj",-42.110111236572266,-43.93216323852539,6,6,1,0.09375,-0.046875059604644775,1
meta-llama/Llama-3.2-3B,adjective_agreement_0019,adjective_agreement,"neut noun, masc adj",-44.26571273803711,-46.16978073120117,10,10,1,0.1171875,-0.1328125,0
meta-llama/Llama-3.2-3B,adjective_agreement_0020,adjective_agreement,"neut noun, masc adj",-43.39463424682617,-44.95256042480469,7,7,1,0.4921875,-0.4609375,1
meta-llama/Llama-3.2-3B,adjective_agreement_0021,adjective_agreement,"masc noun, femn adj",-39.23664855957031,-41.86937713623047,6,6,1,0.125,-0.12499994039535522,1
meta-llama/Llama-3.2-3B,adjective_agreement_0022,adjective_agreement,"femn noun, masc adj",-46.83735275268555,-51.681846618652344,7,7,1,0.3515625,-0.3046875,1
meta-llama/Llama-3.2-3B,adjective_agreement_0023,adjective_agreement,"femn noun, neut adj",-48.279762268066406,-52.83618927001953,7,8,1,0.359375,-0.3125,1
meta-llama/Llama-3.2-3B,adjective_agreement_0024,adjective_agreement,"femn noun, masc adj",-42.88775634765625,-41.2343635559082,8,8,0,0.40625,-0.3281250596046448,1
meta-llama/Llama-3.2-3B,adjective_agreement_0025,adjective_agreement,"femn noun, neut adj",-37.8066291809082,-42.867713928222656,6,6,1,0.14062494039535522,-0.25,0
meta-llama/Llama-3.2-3B,adjective_agreement_0026,adjective_agreement,"femn noun, neut adj",-47.06106948852539,-51.5410041809082,11,11,1,0.1484375,-0.16406255960464478,0
meta-llama/Llama-3.2-3B,adjective_agreement_0027,adjective_agreement,"femn noun, masc adj",-43.87882614135742,-45.81822204589844,8,8,1,0.3750000596046448,-0.328125,1
