model,uid,phenomenon,group,lp_good,lp_bad,ntok_good,ntok_bad,prob_correct,prompt_margin_ab,prompt_margin_ba,prompt_correct
google/gemma-3-4b-it,adjective_agreement_0000,adjective_agreement,"masc noun, neut adj",-45.296260833740234,-52.66908264160156,7,7,1,14.375000015832484,21.125000358026227,1
google/gemma-3-4b-it,adjective_agreement_0001,adjective_agreement,"neut noun, femn adj",-44.28134536743164,-61.43828582763672,6,6,1,5.499999966472387,17.375000004918547,1
google/gemma-3-4b-it,adjective_agreement_0002,adjective_agreement,"femn noun, masc adj",-48.31625747680664,-58.831783294677734,6,6,1,-12.124999895051587,17.374999763342203,1
google/gemma-3-4b-it,adjective_agreement_0003,adjective_agreement,"femn noun, neut adj",-53.849769592285156,-59.15806198120117,7,7,1,5.499999845400453,16.749999049308826,1
google/gemma-3-4b-it,adjective_agreement_0004,adjective_agreement,"neut noun, masc adj",-53.76449203491211,-62.93645477294922,7,7,1,-16.625000837455445,17.249999405736162,1
google/gemma-3-4b-it,adjective_agreement_0005,adjective_agreement,"neut noun, femn adj",-68.67648315429688,-83.01045227050781,6,6,1,3.9999999906867743,20.625000597759936,1
google/gemma-3-4b-it,adjective_agreement_0006,adjective_agreement,"femn noun, neut adj",-61.34438705444336,-61.733943939208984,5,5,1,-6.500000111409463,13.124999916733941,1
google/gemma-3-4b-it,adjective_agreement_0007,adjective_agreement,"femn noun, masc adj",-55.996177673339844,-58.54418182373047,9,10,1,-12.250000297906809,0.0,0
google/gemma-3-4b-it,adjective_agreement_0008,adjective_agreement,"femn noun, masc adj",-65.83552551269531,-74.14376068115234,5,5,1,14.750000169035047,17.250000481704774,1
google/gemma-3-4b-it,adjective_agreement_0009,adjective_agreement,"neut noun, masc adj",-52.286468505859375,-51.809173583984375,7,7,0,-1.5,16.749999531151843,1
google/gemma-3-4b-it,adjective_agreement_0010,adjective_agreement,"masc noun, neut adj",-56.13676452636719,-62.85203552246094,8,8,1,8.0000003837049,17.37499953607039,1
google/gemma-3-4b-it,adjective_agreement_0011,adjective_agreement,"femn noun, masc adj",-56.91243362426758,-57.65129852294922,7,8,1,-10.000000375934178,7.250000211584847,0
google/gemma-3-4b-it,adjective_agreement_0012,adjective_agreement,"masc noun, neut adj",-48.09359359741211,-52.14471435546875,11,11,1,12.500000238418579,20.124999411709723,1
google/gemma-3-4b-it,adjective_agreement_0013,adjective_agreement,"masc noun, neut adj",-55.83757019042969,-66.15219116210938,6,7,1,13.374999759718776,19.75000000174623,1
google/gemma-3-4b-it,adjective_agreement_0014,adjective_agreement,"neut noun, femn adj",-59.502952575683594,-58.058563232421875,5,5,0,5.500000134110451,18.250000360509148,1
google/gemma-3-4b-it,adjective_agreement_0015,adjective_agreement,"neut noun, masc adj",-44.592201232910156,-51.518524169921875,9,9,1,-14.250000417407136,13.500000159838237,0
google/gemma-3-4b-it,adjective_agreement_0016,adjective_agreement,"neut noun, femn adj",-65.66260528564453,-72.78042602539062,5,5,1,-12.375000013926183,15.874999902021955,1
google/gemma-3-4b-it,adjective_agreement_0017,adjective_agreement,"neut noun, femn adj",-57.50753402709961,-64.51919555664062,7,6,1,12.749999996740371,19.625000238820576,1
google/gemma-3-4b-it,adjective_agreement_0018,adjective_agreement,"neut noun, femn adj",-61.8575439453125,-72.49370574951172,5,5,1,-12.625000418745913,15.499999581283191,1
google/gemma-3-4b-it,adjective_agreement_0019,adjective_agreement,"neut noun, masc adj",-48.773780822753906,-48.892578125,11,11,1,-14.749999619554728,15.499999977037078,1
google/gemma-3-4b-it,adjective_agreement_0020,adjective_agreement,"neut noun, masc adj",-50.154579162597656,-58.36647033691406,6,5,1,8.500000005587935,15.37500000804721,1
google/gemma-3-4b-it,adjective_agreement_0021,adjective_agreement,"masc noun, femn adj",-52.51336669921875,-69.4150390625,6,6,1,13.999999897554517,19.25000012095188,1
