model,uid,phenomenon,group,lp_good,lp_bad,ntok_good,ntok_bad,prob_correct,prompt_margin_ab,prompt_margin_ba,prompt_correct
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0000,adjective_agreement,"masc noun, neut adj",-39.14719009399414,-39.18169021606445,7,7,1,4.87499984819442,3.7500000055879354,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0001,adjective_agreement,"neut noun, femn adj",-36.20512008666992,-36.83351135253906,6,6,1,9.375000261803507,4.999999987427145,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0002,adjective_agreement,"femn noun, masc adj",-35.157291412353516,-43.0767822265625,7,7,1,7.875000148487743,9.999999671796104,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0003,adjective_agreement,"femn noun, neut adj",-42.937530517578125,-42.1649055480957,8,8,0,-11.625000239684596,4.375000186264515,0
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0004,adjective_agreement,"neut noun, masc adj",-47.457550048828125,-46.360877990722656,8,8,0,5.999999819556251,14.124999523413862,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0005,adjective_agreement,"neut noun, femn adj",-40.61384582519531,-38.99423599243164,8,8,0,5.50000020256266,12.749999523945007,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0006,adjective_agreement,"femn noun, neut adj",-35.39738464355469,-38.321563720703125,7,7,1,-7.5000002043670975,11.125000001229637,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0007,adjective_agreement,"femn noun, masc adj",-41.578948974609375,-46.35863494873047,13,13,1,11.999999767620466,9.000000254105544,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0008,adjective_agreement,"femn noun, masc adj",-31.585044860839844,-34.849246978759766,7,7,1,14.500000360094418,13.250000000409273,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0009,adjective_agreement,"neut noun, masc adj",-41.6090202331543,-45.56264114379883,10,10,1,-11.375000001375156,11.499999524105078,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0010,adjective_agreement,"masc noun, neut adj",-41.715641021728516,-53.31464385986328,7,7,1,9.374999657666194,12.749999523945007,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0011,adjective_agreement,"femn noun, masc adj",-42.33055114746094,-48.60403823852539,8,8,1,9.62500037503196,0.5,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0012,adjective_agreement,"masc noun, neut adj",-42.537315368652344,-47.44303894042969,13,13,1,3.125000052154064,11.874999881558324,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0013,adjective_agreement,"masc noun, neut adj",-30.354232788085938,-37.58616638183594,7,7,1,2.499999985098839,14.000000000381988,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0014,adjective_agreement,"neut noun, femn adj",-41.526710510253906,-38.35916519165039,6,6,0,7.874999902734999,4.3750001499429345,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0015,adjective_agreement,"neut noun, masc adj",-36.907745361328125,-37.858924865722656,13,13,1,8.375000421772711,8.249999940075213,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0016,adjective_agreement,"neut noun, femn adj",-30.531448364257812,-36.82549285888672,9,8,1,1.3750000596046448,5.999999876134098,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0017,adjective_agreement,"neut noun, femn adj",-41.742347717285156,-45.23040771484375,8,8,1,2.3749999925494194,13.499999523353836,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0018,adjective_agreement,"neut noun, femn adj",-31.76095962524414,-37.63414001464844,7,7,1,-3.8749999795109034,9.999999765532266,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0019,adjective_agreement,"neut noun, masc adj",-42.908355712890625,-41.293357849121094,14,14,0,12.499999766907422,11.12500012057717,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0020,adjective_agreement,"neut noun, masc adj",-35.891510009765625,-36.61125946044922,6,6,1,13.250000360734703,11.875000121559424,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0021,adjective_agreement,"masc noun, femn adj",-36.94434356689453,-39.629520416259766,9,8,1,-1.5000000149011612,8.500000300904503,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0022,adjective_agreement,"femn noun, masc adj",-37.93873977661133,-47.53285217285156,6,6,1,11.87499952766666,14.124999881056283,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0023,adjective_agreement,"femn noun, neut adj",-36.638633728027344,-44.952579498291016,8,8,1,7.249999906169251,6.624999935738742,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0024,adjective_agreement,"femn noun, masc adj",-35.56258773803711,-38.67115020751953,8,8,1,13.375000362510036,2.7500000298023224,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0025,adjective_agreement,"femn noun, neut adj",-39.44715881347656,-43.20524215698242,8,8,1,0.0,10.499999649633537,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0026,adjective_agreement,"femn noun, neut adj",-44.935874938964844,-51.126651763916016,14,14,1,4.375000161118805,6.12500009778887,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0027,adjective_agreement,"femn noun, masc adj",-36.454994201660156,-41.922122955322266,7,7,1,12.874999884166755,6.625000224914402,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0028,adjective_agreement,"neut noun, masc adj",-33.342994689941406,-34.699127197265625,9,9,1,7.874999925610609,-11.37500012810051,0
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0029,adjective_agreement,"masc noun, neut adj",-32.48774337768555,-44.49571990966797,10,10,1,16.875000363092113,8.250000429863576,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0030,adjective_agreement,"femn noun, neut adj",-32.729705810546875,-36.8922233581543,7,7,1,-9.375000249026925,8.375000277650543,0
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0031,adjective_agreement,"femn noun, masc adj",-40.460365295410156,-46.52128219604492,14,14,1,10.249999529019988,2.999999985098839,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0032,adjective_agreement,"masc noun, neut adj",-36.75949478149414,-43.031463623046875,7,7,1,6.499999767867848,12.999999881230906,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0033,adjective_agreement,"femn noun, neut adj",-31.41570281982422,-36.72490692138672,7,7,1,7.249999904481228,11.125000002044544,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0034,adjective_agreement,"femn noun, masc adj",-33.13230514526367,-43.35636901855469,7,7,1,2.2499999180436134,10.749999769293936,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0035,adjective_agreement,"femn noun, neut adj",-48.661537170410156,-50.142425537109375,13,13,1,-9.374999896885129,4.875000149011612,0
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0036,adjective_agreement,"femn noun, neut adj",-30.442106246948242,-36.91733932495117,7,7,1,13.625000360028935,4.125000158324838,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0037,adjective_agreement,"masc noun, femn adj",-45.914791107177734,-44.448219299316406,6,6,0,9.000000025320332,10.000000248342985,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0038,adjective_agreement,"femn noun, masc adj",-42.27320861816406,-49.62335205078125,13,13,1,13.374999763953383,13.375000358533725,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0039,adjective_agreement,"femn noun, masc adj",-32.282440185546875,-41.440521240234375,7,7,1,14.875000241096132,15.124999881203621,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0040,adjective_agreement,"neut noun, femn adj",-47.99886703491211,-50.806182861328125,14,14,1,0.0,13.87499988107811,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0041,adjective_agreement,"femn noun, masc adj",-33.928810119628906,-34.0294189453125,7,8,1,10.87500013083627,12.749999762731022,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0042,adjective_agreement,"femn noun, masc adj",-38.62641525268555,-43.603416442871094,8,8,1,15.000000360509148,13.874999762552761,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0043,adjective_agreement,"masc noun, femn adj",-29.8270263671875,-34.863521575927734,9,8,1,-7.250000131956767,11.124999883424607,1
Qwen/Qwen2.5-7B-Instruct,adjective_agreement_0044,adjective_agreement,"neut noun, masc adj",-47.475852966308594,-43.27639389038086,16,16,0,-4.874999932013452,9.25000036964775,1
