model,uid,phenomenon,group,lp_good,lp_bad,ntok_good,ntok_bad,prob_correct,prompt_margin_ab,prompt_margin_ba,prompt_correct
Qwen/Qwen2.5-1.5B,adjective_agreement_0000,adjective_agreement,"masc noun, neut adj",-39.4276123046875,-40.61623764038086,7,7,1,1.9414067268371582,-1.9570317268371582,0
Qwen/Qwen2.5-1.5B,adjective_agreement_0001,adjective_agreement,"neut noun, femn adj",-35.782691955566406,-33.58733367919922,6,6,0,1.9726567268371582,-1.9804682731628418,0
Qwen/Qwen2.5-1.5B,adjective_agreement_0002,adjective_agreement,"femn noun, masc adj",-37.763912200927734,-43.65503692626953,7,7,1,2.203124523162842,-2.171875,1
Qwen/Qwen2.5-1.5B,adjective_agreement_0003,adjective_agreement,"femn noun, neut adj",-43.34425735473633,-48.34846496582031,8,8,1,2.26953125,-2.289062976837158,0
Qwen/Qwen2.5-1.5B,adjective_agreement_0004,adjective_agreement,"neut noun, masc adj",-45.75384521484375,-47.707786560058594,8,8,1,2.046875,-2.02734375,1
Qwen/Qwen2.5-1.5B,adjective_agreement_0005,adjective_agreement,"neut noun, femn adj",-42.18720245361328,-42.30937957763672,8,8,1,2.734375,-2.73046875,1
Qwen/Qwen2.5-1.5B,adjective_agreement_0006,adjective_agreement,"femn noun, neut adj",-35.448787689208984,-36.15308380126953,7,7,1,2.44140625,-2.45703125,0
Qwen/Qwen2.5-1.5B,adjective_agreement_0007,adjective_agreement,"femn noun, masc adj",-41.352882385253906,-49.77155303955078,13,13,1,2.3125,-2.3125,0
Qwen/Qwen2.5-1.5B,adjective_agreement_0008,adjective_agreement,"femn noun, masc adj",-28.689495086669922,-34.04905700683594,7,7,1,2.66796875,-2.7265625,0
Qwen/Qwen2.5-1.5B,adjective_agreement_0009,adjective_agreement,"neut noun, masc adj",-52.37209701538086,-48.05535125732422,10,10,0,2.292969226837158,-2.296875,0
Qwen/Qwen2.5-1.5B,adjective_agreement_0010,adjective_agreement,"masc noun, neut adj",-37.59747314453125,-49.057315826416016,7,7,1,1.9296875,-1.9375,0
Qwen/Qwen2.5-1.5B,adjective_agreement_0011,adjective_agreement,"femn noun, masc adj",-38.59941101074219,-41.805503845214844,8,8,1,2.23046875,-2.22265625,1
Qwen/Qwen2.5-1.5B,adjective_agreement_0012,adjective_agreement,"masc noun, neut adj",-35.94371795654297,-39.17886734008789,13,13,1,2.4140625,-2.421875,0
Qwen/Qwen2.5-1.5B,adjective_agreement_0013,adjective_agreement,"masc noun, neut adj",-37.54856491088867,-33.996238708496094,7,7,0,2.59765625,-2.597656726837158,0
Qwen/Qwen2.5-1.5B,adjective_agreement_0014,adjective_agreement,"neut noun, femn adj",-37.762542724609375,-34.77324295043945,6,6,0,2.19140625,-2.1875,1
Qwen/Qwen2.5-1.5B,adjective_agreement_0015,adjective_agreement,"neut noun, masc adj",-33.28468322753906,-36.20730209350586,13,13,1,2.33984375,-2.32421875,1
