model,uid,phenomenon,group,lp_good,lp_bad,ntok_good,ntok_bad,prob_correct,prompt_margin_ab,prompt_margin_ba,prompt_correct
google/gemma-2-2b,adjective_agreement_0000,adjective_agreement,"masc noun, neut adj",-38.760902404785156,-45.06715393066406,7,8,1,-0.869439959526062,0.9214667081832886,1
google/gemma-2-2b,adjective_agreement_0001,adjective_agreement,"neut noun, femn adj",-38.16857147216797,-39.849849700927734,6,6,1,-0.9961090087890625,1.0056267976760864,1
google/gemma-2-2b,adjective_agreement_0002,adjective_agreement,"femn noun, masc adj",-39.341758728027344,-42.794795989990234,6,7,1,-0.7988719940185547,0.8025054931640625,1
google/gemma-2-2b,adjective_agreement_0003,adjective_agreement,"femn noun, neut adj",-44.41600799560547,-48.35799026489258,7,7,1,-0.8658885955810547,0.873876690864563,1
google/gemma-2-2b,adjective_agreement_0004,adjective_agreement,"neut noun, masc adj",-33.043495178222656,-40.10882568359375,7,6,1,-1.1352730989456177,1.0597761869430542,0
google/gemma-2-2b,adjective_agreement_0005,adjective_agreement,"neut noun, femn adj",-44.43801498413086,-52.26057052612305,6,6,1,-0.9009836912155151,0.9579716920852661,1
google/gemma-2-2b,adjective_agreement_0006,adjective_agreement,"femn noun, neut adj",-47.067138671875,-48.823020935058594,4,4,1,-0.946807861328125,0.9196873903274536,0
google/gemma-2-2b,adjective_agreement_0007,adjective_agreement,"femn noun, masc adj",-37.45891571044922,-44.603092193603516,9,10,1,-0.7405775785446167,0.7249927520751953,0
google/gemma-2-2b,adjective_agreement_0008,adjective_agreement,"femn noun, masc adj",-46.1172981262207,-52.32017517089844,5,5,1,-0.985198974609375,0.9312953948974609,0
google/gemma-2-2b,adjective_agreement_0009,adjective_agreement,"neut noun, masc adj",-38.67936706542969,-41.18185806274414,7,7,1,-1.0356160402297974,0.9879322052001953,0
google/gemma-2-2b,adjective_agreement_0010,adjective_agreement,"masc noun, neut adj",-40.44145202636719,-46.80817794799805,8,8,1,-0.8889656066894531,0.8956354856491089,1
google/gemma-2-2b,adjective_agreement_0011,adjective_agreement,"femn noun, masc adj",-39.70155334472656,-42.896888732910156,6,7,1,-0.7474383115768433,0.8970128297805786,1
google/gemma-2-2b,adjective_agreement_0012,adjective_agreement,"masc noun, neut adj",-38.3519172668457,-41.044925689697266,10,11,1,-0.9412136077880859,0.9498062133789062,1
google/gemma-2-2b,adjective_agreement_0013,adjective_agreement,"masc noun, neut adj",-39.027809143066406,-43.3755989074707,7,7,1,-0.8906515836715698,0.9556788206100464,1
google/gemma-2-2b,adjective_agreement_0014,adjective_agreement,"neut noun, femn adj",-47.24920654296875,-46.805816650390625,5,5,0,-0.8580683469772339,0.9563120603561401,1
google/gemma-2-2b,adjective_agreement_0015,adjective_agreement,"neut noun, masc adj",-33.85373306274414,-38.089691162109375,10,9,1,-1.0803451538085938,1.0491827726364136,0
google/gemma-2-2b,adjective_agreement_0016,adjective_agreement,"neut noun, femn adj",-43.394927978515625,-49.784690856933594,5,5,1,-0.887451171875,0.9426918029785156,1
google/gemma-2-2b,adjective_agreement_0017,adjective_agreement,"neut noun, femn adj",-34.22074890136719,-37.0358772277832,7,6,1,-0.97589111328125,0.9752541780471802,0
google/gemma-2-2b,adjective_agreement_0018,adjective_agreement,"neut noun, femn adj",-44.52952575683594,-52.29705810546875,5,5,1,-0.9109705686569214,0.9475879669189453,1
google/gemma-2-2b,adjective_agreement_0019,adjective_agreement,"neut noun, masc adj",-37.081939697265625,-39.714599609375,10,9,1,-1.0753840208053589,1.0508651733398438,0
google/gemma-2-2b,adjective_agreement_0020,adjective_agreement,"neut noun, masc adj",-39.342098236083984,-44.38822937011719,6,6,1,-1.0110969543457031,0.9347953796386719,0
google/gemma-2-2b,adjective_agreement_0021,adjective_agreement,"masc noun, femn adj",-48.996490478515625,-51.10289764404297,6,6,1,-0.789627194404602,0.8723545074462891,1
google/gemma-2-2b,adjective_agreement_0022,adjective_agreement,"femn noun, masc adj",-44.61001205444336,-51.927711486816406,6,6,1,-1.047786831855774,1.0530376434326172,1
google/gemma-2-2b,adjective_agreement_0023,adjective_agreement,"femn noun, neut adj",-42.83805465698242,-47.96821594238281,5,6,1,-0.859094500541687,0.8194257020950317,0
google/gemma-2-2b,adjective_agreement_0024,adjective_agreement,"femn noun, masc adj",-41.745452880859375,-47.755889892578125,6,5,1,-0.9542160034179688,0.963531494140625,1
google/gemma-2-2b,adjective_agreement_0025,adjective_agreement,"femn noun, neut adj",-41.77499008178711,-45.70159912109375,6,6,1,-0.7471235990524292,0.7453441619873047,0
google/gemma-2-2b,adjective_agreement_0026,adjective_agreement,"femn noun, neut adj",-38.41120147705078,-45.374244689941406,9,9,1,-0.9909629821777344,1.0132542848587036,1
google/gemma-2-2b,adjective_agreement_0027,adjective_agreement,"femn noun, masc adj",-40.730133056640625,-48.520774841308594,6,6,1,-0.9306832551956177,0.9785404205322266,1
google/gemma-2-2b,adjective_agreement_0028,adjective_agreement,"neut noun, masc adj",-44.21574783325195,-42.687477111816406,7,6,0,-0.974908709526062,0.9967575073242188,1
google/gemma-2-2b,adjective_agreement_0029,adjective_agreement,"masc noun, neut adj",-41.55317306518555,-49.852046966552734,5,6,1,-1.0611839294433594,1.0927752256393433,1
google/gemma-2-2b,adjective_agreement_0030,adjective_agreement,"femn noun, neut adj",-46.336341857910156,-49.50138854980469,5,5,1,-0.8756178617477417,0.7858484983444214,0
google/gemma-2-2b,adjective_agreement_0031,adjective_agreement,"femn noun, masc adj",-37.43867492675781,-41.646263122558594,10,9,1,-1.0515385866165161,1.0344867706298828,0
google/gemma-2-2b,adjective_agreement_0032,adjective_agreement,"masc noun, neut adj",-35.04840850830078,-41.27197265625,8,8,1,-0.7879867553710938,0.871429443359375,1
google/gemma-2-2b,adjective_agreement_0033,adjective_agreement,"femn noun, neut adj",-35.72857666015625,-41.33269500732422,6,7,1,-0.9285887479782104,0.9486218690872192,1
google/gemma-2-2b,adjective_agreement_0034,adjective_agreement,"femn noun, masc adj",-36.358116149902344,-44.18596649169922,7,6,1,-0.9589899778366089,0.9568902254104614,0
google/gemma-2-2b,adjective_agreement_0035,adjective_agreement,"femn noun, neut adj",-41.936092376708984,-48.299400329589844,9,9,1,-0.8423728942871094,0.7845784425735474,0
google/gemma-2-2b,adjective_agreement_0036,adjective_agreement,"femn noun, neut adj",-40.58174133300781,-47.43275451660156,5,5,1,-0.9952907562255859,1.0023307800292969,1
google/gemma-2-2b,adjective_agreement_0037,adjective_agreement,"masc noun, femn adj",-47.379661560058594,-50.4229850769043,7,6,1,-0.7614669799804688,0.8147295713424683,1
google/gemma-2-2b,adjective_agreement_0038,adjective_agreement,"femn noun, masc adj",-37.94291687011719,-44.23198318481445,9,8,1,-1.009653091430664,1.016555905342102,1
google/gemma-2-2b,adjective_agreement_0039,adjective_agreement,"femn noun, masc adj",-37.961814880371094,-44.6883544921875,4,5,1,-0.8517246246337891,0.8489285707473755,0
google/gemma-2-2b,adjective_agreement_0040,adjective_agreement,"neut noun, femn adj",-36.531585693359375,-40.608863830566406,10,9,1,-0.8989467620849609,0.8823529481887817,0
google/gemma-2-2b,adjective_agreement_0041,adjective_agreement,"femn noun, masc adj",-44.031715393066406,-46.03989028930664,5,5,1,-0.8872547149658203,0.8664836883544922,0
google/gemma-2-2b,adjective_agreement_0042,adjective_agreement,"femn noun, masc adj",-38.03983688354492,-42.86096954345703,5,5,1,-0.9419974088668823,0.9321937561035156,0
google/gemma-2-2b,adjective_agreement_0043,adjective_agreement,"masc noun, femn adj",-42.08535385131836,-46.65570831298828,7,7,1,-0.7820242643356323,0.9113847017288208,1
google/gemma-2-2b,adjective_agreement_0044,adjective_agreement,"neut noun, masc adj",-41.84033203125,-41.80598831176758,11,11,0,-0.9324874877929688,0.893905758857727,0
google/gemma-2-2b,adjective_agreement_0045,adjective_agreement,"masc noun, neut adj",-33.547119140625,-38.444129943847656,6,7,1,-1.0713063478469849,1.0769404172897339,1
google/gemma-2-2b,adjective_agreement_0046,adjective_agreement,"neut noun, femn adj",-53.77104187011719,-52.77107238769531,6,6,0,-1.027719497680664,1.0869865417480469,1
google/gemma-2-2b,adjective_agreement_0047,adjective_agreement,"neut noun, masc adj",-45.98281478881836,-44.15336608886719,8,8,0,-0.9482421875,0.9299449920654297,0
google/gemma-2-2b,adjective_agreement_0048,adjective_agreement,"neut noun, femn adj",-45.434356689453125,-43.18476104736328,6,5,0,-0.8204593658447266,0.9240188598632812,1
google/gemma-2-2b,adjective_agreement_0049,adjective_agreement,"femn noun, neut adj",-43.26526641845703,-47.885009765625,8,8,1,-0.8379803895950317,0.8644903898239136,1
google/gemma-2-2b,adjective_agreement_0050,adjective_agreement,"masc noun, neut adj",-38.35105895996094,-41.43276596069336,10,10,1,-0.8827916383743286,0.8964576721191406,1
google/gemma-2-2b,adjective_agreement_0051,adjective_agreement,"masc noun, neut adj",-38.32764434814453,-45.533363342285156,10,10,1,-0.9073696136474609,0.9133090972900391,1
google/gemma-2-2b,adjective_agreement_0052,adjective_agreement,"femn noun, neut adj",-38.80314254760742,-44.39875411987305,7,7,1,-0.8896600008010864,0.9571703672409058,1
google/gemma-2-2b,adjective_agreement_0053,adjective_agreement,"femn noun, masc adj",-39.95817565917969,-46.24119567871094,9,8,1,-1.0679550170898438,1.0542048215866089,0
google/gemma-2-2b,adjective_agreement_0054,adjective_agreement,"neut noun, masc adj",-46.77743148803711,-38.71860122680664,8,8,0,-0.9191646575927734,0.8995857238769531,0
google/gemma-2-2b,adjective_agreement_0055,adjective_agreement,"femn noun, masc adj",-39.62025451660156,-46.69791793823242,7,6,1,-0.8696346282958984,0.8640576601028442,0
google/gemma-2-2b,adjective_agreement_0056,adjective_agreement,"masc noun, femn adj",-37.7408447265625,-42.17738342285156,8,7,1,-0.7383441925048828,0.7733955383300781,1
google/gemma-2-2b,adjective_agreement_0057,adjective_agreement,"masc noun, femn adj",-46.41564178466797,-44.16741943359375,10,9,0,-0.8108692169189453,0.8276365995407104,1
google/gemma-2-2b,adjective_agreement_0058,adjective_agreement,"masc noun, neut adj",-46.11084747314453,-49.43573760986328,6,5,1,-0.9993953704833984,0.9884262084960938,0
google/gemma-2-2b,adjective_agreement_0059,adjective_agreement,"femn noun, neut adj",-42.05521011352539,-50.23291015625,6,6,1,-1.1230697631835938,1.1565666198730469,1
