model,uid,phenomenon,group,lp_good,lp_bad,ntok_good,ntok_bad,prob_correct,prompt_margin_ab,prompt_margin_ba,prompt_correct
Qwen/Qwen2.5-3B,adjective_agreement_0000,adjective_agreement,"masc noun, neut adj",-43.22833251953125,-42.601890563964844,7,7,0,-1.4765624403953552,2.3203126192092896,1
Qwen/Qwen2.5-3B,adjective_agreement_0001,adjective_agreement,"neut noun, femn adj",-37.74976348876953,-33.807682037353516,6,6,0,-0.6796875,2.7578125596046448,1
Qwen/Qwen2.5-3B,adjective_agreement_0002,adjective_agreement,"femn noun, masc adj",-35.97063064575195,-39.58760070800781,7,7,1,-0.5078125,2.6171876192092896,1
Qwen/Qwen2.5-3B,adjective_agreement_0003,adjective_agreement,"femn noun, neut adj",-45.039825439453125,-47.9080810546875,8,8,1,-2.0703125,2.3359375596046448,1
Qwen/Qwen2.5-3B,adjective_agreement_0004,adjective_agreement,"neut noun, masc adj",-41.381595611572266,-43.88334655761719,8,8,1,-2.3671876192092896,2.4843750596046448,1
Qwen/Qwen2.5-3B,adjective_agreement_0005,adjective_agreement,"neut noun, femn adj",-37.650001525878906,-33.44774627685547,8,8,0,-1.2187498807907104,0.953125,0
Qwen/Qwen2.5-3B,adjective_agreement_0006,adjective_agreement,"femn noun, neut adj",-33.09242248535156,-35.34235763549805,7,7,1,-0.625,1.546875,1
Qwen/Qwen2.5-3B,adjective_agreement_0007,adjective_agreement,"femn noun, masc adj",-38.4986686706543,-41.30022430419922,13,13,1,-0.4453125,2.4609375,1
Qwen/Qwen2.5-3B,adjective_agreement_0008,adjective_agreement,"femn noun, masc adj",-26.51340103149414,-33.52759552001953,7,7,1,-0.5234375,2.2968749403953552,1
Qwen/Qwen2.5-3B,adjective_agreement_0009,adjective_agreement,"neut noun, masc adj",-43.683204650878906,-43.3215217590332,10,10,0,-2.1093751192092896,2.2265624403953552,1
Qwen/Qwen2.5-3B,adjective_agreement_0010,adjective_agreement,"masc noun, neut adj",-38.80206298828125,-45.90463638305664,7,7,1,-2.0000000596046448,2.3984375,1
Qwen/Qwen2.5-3B,adjective_agreement_0011,adjective_agreement,"femn noun, masc adj",-38.54286193847656,-45.102447509765625,8,8,1,-1.0390623807907104,2.5859374403953552,1
Qwen/Qwen2.5-3B,adjective_agreement_0012,adjective_agreement,"masc noun, neut adj",-37.816566467285156,-39.75216293334961,13,13,1,-1.7187500596046448,2.2812500596046448,1
Qwen/Qwen2.5-3B,adjective_agreement_0013,adjective_agreement,"masc noun, neut adj",-26.053390502929688,-29.412612915039062,7,7,1,-1.5703123807907104,2.5859375,1
