model,uid,phenomenon,group,lp_good,lp_bad,ntok_good,ntok_bad,prob_correct,prompt_margin_ab,prompt_margin_ba,prompt_correct
lapa-llm/lapa-12b-pt,adjective_agreement_0000,adjective_agreement,"masc noun, neut adj",-24.713581085205078,-31.55518341064453,4,4,1,0.8354835510253906,-0.8177871704101562,1
lapa-llm/lapa-12b-pt,adjective_agreement_0001,adjective_agreement,"neut noun, femn adj",-23.784753799438477,-32.70993423461914,4,4,1,0.9196186065673828,-0.8667163848876953,1
lapa-llm/lapa-12b-pt,adjective_agreement_0002,adjective_agreement,"femn noun, masc adj",-27.570556640625,-33.668617248535156,4,4,1,0.8911581039428711,-0.8519697189331055,1
lapa-llm/lapa-12b-pt,adjective_agreement_0003,adjective_agreement,"femn noun, neut adj",-27.996097564697266,-38.30743408203125,4,5,1,1.0324954986572266,-0.9659242630004883,1
lapa-llm/lapa-12b-pt,adjective_agreement_0004,adjective_agreement,"neut noun, masc adj",-25.247655868530273,-32.9909553527832,5,5,1,0.9322919845581055,-0.8976163864135742,1
lapa-llm/lapa-12b-pt,adjective_agreement_0005,adjective_agreement,"neut noun, femn adj",-30.72199249267578,-36.06165313720703,4,4,1,0.7629413604736328,-0.7712574005126953,0
lapa-llm/lapa-12b-pt,adjective_agreement_0006,adjective_agreement,"femn noun, neut adj",-29.570899963378906,-34.25806427001953,4,4,1,0.803156852722168,-0.7614068984985352,1
lapa-llm/lapa-12b-pt,adjective_agreement_0007,adjective_agreement,"femn noun, masc adj",-30.362632751464844,-36.012115478515625,5,5,1,1.015425682067871,-1.0031957626342773,1
lapa-llm/lapa-12b-pt,adjective_agreement_0008,adjective_agreement,"femn noun, masc adj",-28.544836044311523,-38.68689727783203,4,4,1,0.8083600997924805,-0.8045949935913086,1
lapa-llm/lapa-12b-pt,adjective_agreement_0009,adjective_agreement,"neut noun, masc adj",-32.400142669677734,-34.829200744628906,4,4,1,0.8663244247436523,-0.7799520492553711,1
lapa-llm/lapa-12b-pt,adjective_agreement_0010,adjective_agreement,"masc noun, neut adj",-28.373775482177734,-34.46125030517578,5,5,1,0.9570302963256836,-0.939274787902832,1
lapa-llm/lapa-12b-pt,adjective_agreement_0011,adjective_agreement,"femn noun, masc adj",-32.12553787231445,-35.679283142089844,4,4,1,0.8432931900024414,-0.7935085296630859,1
lapa-llm/lapa-12b-pt,adjective_agreement_0012,adjective_agreement,"masc noun, neut adj",-29.8875789642334,-35.70478820800781,5,5,1,1.033060073852539,-1.0476617813110352,0
lapa-llm/lapa-12b-pt,adjective_agreement_0013,adjective_agreement,"masc noun, neut adj",-26.063434600830078,-31.972309112548828,4,4,1,0.8518791198730469,-0.8298816680908203,1
