model,uid,phenomenon,group,lp_good,lp_bad,ntok_good,ntok_bad,prob_correct,prompt_margin_ab,prompt_margin_ba,prompt_correct
INSAIT-Institute/MamayLM-Gemma-3-4B-IT-v1.0,adjective_agreement_0000,adjective_agreement,"masc noun, neut adj",-27.257490158081055,-34.704750061035156,7,7,1,3.375000074505806,5.250000096857548,1
INSAIT-Institute/MamayLM-Gemma-3-4B-IT-v1.0,adjective_agreement_0001,adjective_agreement,"neut noun, femn adj",-27.42466926574707,-36.393577575683594,6,6,1,3.374999910593033,2.999999910593033,1
INSAIT-Institute/MamayLM-Gemma-3-4B-IT-v1.0,adjective_agreement_0002,adjective_agreement,"femn noun, masc adj",-28.042219161987305,-34.50529479980469,6,6,1,1.375,2.874999888241291,1
INSAIT-Institute/MamayLM-Gemma-3-4B-IT-v1.0,adjective_agreement_0003,adjective_agreement,"femn noun, neut adj",-33.07395553588867,-39.83729553222656,7,7,1,3.0,4.500000134110451,1
INSAIT-Institute/MamayLM-Gemma-3-4B-IT-v1.0,adjective_agreement_0004,adjective_agreement,"neut noun, masc adj",-31.125282287597656,-32.857757568359375,7,7,1,0.125,4.499999903142452,1
INSAIT-Institute/MamayLM-Gemma-3-4B-IT-v1.0,adjective_agreement_0005,adjective_agreement,"neut noun, femn adj",-32.577476501464844,-41.22538757324219,6,6,1,3.124999910593033,4.874999824911356,1
INSAIT-Institute/MamayLM-Gemma-3-4B-IT-v1.0,adjective_agreement_0006,adjective_agreement,"femn noun, neut adj",-36.25685501098633,-40.843101501464844,5,5,1,0.25,1.2500000596046448,1
INSAIT-Institute/MamayLM-Gemma-3-4B-IT-v1.0,adjective_agreement_0007,adjective_agreement,"femn noun, masc adj",-33.03654098510742,-35.80979919433594,9,10,1,1.8750000298023224,-0.4999999403953552,1
INSAIT-Institute/MamayLM-Gemma-3-4B-IT-v1.0,adjective_agreement_0008,adjective_agreement,"femn noun, masc adj",-30.461965560913086,-39.14262390136719,5,5,1,1.9999998807907104,3.6250000596046448,1
INSAIT-Institute/MamayLM-Gemma-3-4B-IT-v1.0,adjective_agreement_0009,adjective_agreement,"neut noun, masc adj",-31.629261016845703,-36.60187530517578,7,7,1,2.375000089406967,3.750000052154064,1
INSAIT-Institute/MamayLM-Gemma-3-4B-IT-v1.0,adjective_agreement_0010,adjective_agreement,"masc noun, neut adj",-30.38762664794922,-35.39527893066406,8,8,1,2.6250000298023224,4.749999947845936,1
INSAIT-Institute/MamayLM-Gemma-3-4B-IT-v1.0,adjective_agreement_0011,adjective_agreement,"femn noun, masc adj",-38.38092041015625,-41.39532470703125,7,8,1,1.0,1.0,1
INSAIT-Institute/MamayLM-Gemma-3-4B-IT-v1.0,adjective_agreement_0012,adjective_agreement,"masc noun, neut adj",-30.5783634185791,-36.19995880126953,11,11,1,3.3749999552965164,2.250000014901161,1
INSAIT-Institute/MamayLM-Gemma-3-4B-IT-v1.0,adjective_agreement_0013,adjective_agreement,"masc noun, neut adj",-27.853904724121094,-34.13944625854492,6,7,1,2.8750000298023224,5.1249999068677425,1
INSAIT-Institute/MamayLM-Gemma-3-4B-IT-v1.0,adjective_agreement_0014,adjective_agreement,"neut noun, femn adj",-33.55730438232422,-36.59994888305664,5,5,1,3.0000001043081284,2.125000089406967,1
INSAIT-Institute/MamayLM-Gemma-3-4B-IT-v1.0,adjective_agreement_0015,adjective_agreement,"neut noun, masc adj",-26.976688385009766,-31.4256591796875,9,9,1,3.124999925494194,0.25,1
INSAIT-Institute/MamayLM-Gemma-3-4B-IT-v1.0,adjective_agreement_0016,adjective_agreement,"neut noun, femn adj",-30.755266189575195,-38.39459991455078,5,5,1,2.2499999701976776,3.499999910593033,1
INSAIT-Institute/MamayLM-Gemma-3-4B-IT-v1.0,adjective_agreement_0017,adjective_agreement,"neut noun, femn adj",-31.472963333129883,-35.83411407470703,7,6,1,2.7499998807907104,5.750000063329935,1
INSAIT-Institute/MamayLM-Gemma-3-4B-IT-v1.0,adjective_agreement_0018,adjective_agreement,"neut noun, femn adj",-31.343320846557617,-37.609710693359375,5,5,1,2.3749999403953552,1.3749999701976776,1
INSAIT-Institute/MamayLM-Gemma-3-4B-IT-v1.0,adjective_agreement_0019,adjective_agreement,"neut noun, masc adj",-29.834177017211914,-34.09126281738281,11,11,1,3.249999985098839,1.8749999105930328,1
INSAIT-Institute/MamayLM-Gemma-3-4B-IT-v1.0,adjective_agreement_0020,adjective_agreement,"neut noun, masc adj",-29.821086883544922,-34.57225036621094,6,5,1,3.2499999403953552,3.7500001043081284,1
INSAIT-Institute/MamayLM-Gemma-3-4B-IT-v1.0,adjective_agreement_0021,adjective_agreement,"masc noun, femn adj",-30.500207901000977,-36.125003814697266,6,6,1,2.3749998807907104,5.250000216066837,1
INSAIT-Institute/MamayLM-Gemma-3-4B-IT-v1.0,adjective_agreement_0022,adjective_agreement,"femn noun, masc adj",-36.1461067199707,-44.102630615234375,6,6,1,1.6250000298023224,5.874999810010195,1
INSAIT-Institute/MamayLM-Gemma-3-4B-IT-v1.0,adjective_agreement_0023,adjective_agreement,"femn noun, neut adj",-30.747600555419922,-36.87557601928711,6,7,1,2.3749999701976776,4.124999903142452,1
INSAIT-Institute/MamayLM-Gemma-3-4B-IT-v1.0,adjective_agreement_0024,adjective_agreement,"femn noun, masc adj",-34.156612396240234,-38.87186050415039,7,6,1,2.375,2.999999910593033,1
INSAIT-Institute/MamayLM-Gemma-3-4B-IT-v1.0,adjective_agreement_0025,adjective_agreement,"femn noun, neut adj",-30.338489532470703,-31.901874542236328,6,6,1,1.875,-1.375,1
INSAIT-Institute/MamayLM-Gemma-3-4B-IT-v1.0,adjective_agreement_0026,adjective_agreement,"femn noun, neut adj",-32.61457443237305,-37.590354919433594,10,10,1,3.3750001043081284,3.249999888241291,1
INSAIT-Institute/MamayLM-Gemma-3-4B-IT-v1.0,adjective_agreement_0027,adjective_agreement,"femn noun, masc adj",-36.1080322265625,-39.79883575439453,7,7,1,2.749999985098839,1.1250000298023224,1
INSAIT-Institute/MamayLM-Gemma-3-4B-IT-v1.0,adjective_agreement_0028,adjective_agreement,"neut noun, masc adj",-27.807018280029297,-34.106773376464844,7,6,1,0.25,3.125000089406967,1
INSAIT-Institute/MamayLM-Gemma-3-4B-IT-v1.0,adjective_agreement_0029,adjective_agreement,"masc noun, neut adj",-27.438465118408203,-32.06857681274414,6,7,1,2.875000074505806,1.7499999403953552,1
INSAIT-Institute/MamayLM-Gemma-3-4B-IT-v1.0,adjective_agreement_0030,adjective_agreement,"femn noun, neut adj",-33.58567810058594,-38.88915252685547,5,5,1,1.2500000298023224,-0.5,1
