# name	vocative	gender	note
# Only names whose vocative is unambiguous in the literary norm.
# Excluded on purpose: diminutives with two accepted vocatives (Настя: Насте/Настю),
# and forms where Правопис 2019 admits variants.
Андрій	Андрію	m
Олександр	Олександре	m
Дмитро	Дмитре	m
Сергій	Сергію	m
Іван	Іване	m
Петро	Петре	m
Микола	Миколо	m
Василь	Василю	m
Олег	Олеже	m
Михайло	Михайле	m
Юрій	Юрію	m
Віктор	Вікторе	m
Богдан	Богдане	m
Тарас	Тарасе	m
Остап	Остапе	m
Роман	Романе	m
Максим	Максиме	m
Павло	Павле	m
Степан	Степане	m
Ігор	Ігоре	m
Антон	Антоне	m
Володимир	Володимире	m
Євген	Євгене	m
Ярослав	Ярославе	m
Назар	Назаре	m
Олексій	Олексію	m
Віталій	Віталію	m
Кирило	Кириле	m
Данило	Даниле	m
Семен	Семене	m
Оксана	Оксано	f
Олена	Олено	f
Наталія	Наталіє	f
Марія	Маріє	f
Ірина	Ірино	f
Тетяна	Тетяно	f
Юлія	Юліє	f
Анна	Анно	f
Катерина	Катерино	f
Світлана	Світлано	f
Галина	Галино	f
Ольга	Ольго	f
Людмила	Людмило	f
Надія	Надіє	f
Софія	Софіє	f
Вікторія	Вікторіє	f
Дарина	Дарино	f
Христина	Христино	f
Мирослава	Мирославо	f
Ганна	Ганно	f
