model,uid,phenomenon,group,lp_good,lp_bad,ntok_good,ntok_bad,prob_correct,prompt_margin_ab,prompt_margin_ba,prompt_correct
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0000,adjective_agreement,"masc noun, neut adj",-33.55638885498047,-36.84934997558594,7,7,1,-5.7187502309679985,6.125000163912773,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0001,adjective_agreement,"neut noun, femn adj",-32.9229621887207,-28.601398468017578,6,6,0,-4.9999997690320015,4.843749940395355,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0002,adjective_agreement,"femn noun, masc adj",-33.37266540527344,-35.28545379638672,7,7,1,-4.6562502309679985,5.499999813735485,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0003,adjective_agreement,"femn noun, neut adj",-37.021522521972656,-40.87089157104492,8,8,1,-4.781250134110451,4.2656251192092896,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0004,adjective_agreement,"neut noun, masc adj",-46.818965911865234,-51.762542724609375,8,8,1,-3.9218751043081284,4.218750149011612,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0005,adjective_agreement,"neut noun, femn adj",-43.62032699584961,-44.196693420410156,8,8,1,-4.093750201165676,4.8437498435378075,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0006,adjective_agreement,"femn noun, neut adj",-37.90533447265625,-38.64238739013672,7,7,1,-4.8125001564621925,4.218750067055225,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0007,adjective_agreement,"femn noun, masc adj",-45.76709747314453,-53.46668243408203,13,13,1,-5.234375067055225,5.0625002309679985,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0008,adjective_agreement,"femn noun, masc adj",-29.729171752929688,-34.37281036376953,7,7,1,-5.593749895691872,5.843749940395355,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0009,adjective_agreement,"neut noun, masc adj",-44.604454040527344,-39.998046875,10,10,0,-5.093749940395355,4.875000149011612,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0010,adjective_agreement,"masc noun, neut adj",-41.97584533691406,-54.459678649902344,7,7,1,-4.531249888241291,5.359375022351742,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0011,adjective_agreement,"femn noun, masc adj",-32.99798583984375,-35.57999801635742,8,8,1,-4.3906251937150955,4.656250081956387,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0012,adjective_agreement,"masc noun, neut adj",-39.79296112060547,-43.784149169921875,13,13,1,-4.859375022351742,5.875000022351742,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0013,adjective_agreement,"masc noun, neut adj",-37.459312438964844,-35.151451110839844,7,7,0,-6.421874832361937,6.640625011175871,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0014,adjective_agreement,"neut noun, femn adj",-35.43154525756836,-32.08234786987305,6,6,0,-4.234375223517418,4.171874940395355,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0015,adjective_agreement,"neut noun, masc adj",-38.11278533935547,-40.29862976074219,13,13,1,-5.640624858438969,5.109374903142452,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0016,adjective_agreement,"neut noun, femn adj",-37.30595397949219,-38.27444076538086,9,8,1,-4.703125067055225,5.828124929219484,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0017,adjective_agreement,"neut noun, femn adj",-47.7799072265625,-55.28474807739258,8,8,1,-4.484375014901161,5.2968752309679985,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0018,adjective_agreement,"neut noun, femn adj",-40.261104583740234,-36.568199157714844,7,7,0,-5.21875,5.125000059604645,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0019,adjective_agreement,"neut noun, masc adj",-41.271705627441406,-38.629364013671875,14,14,0,-6.000000178813934,5.312499914318323,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0020,adjective_agreement,"neut noun, masc adj",-30.15334701538086,-32.615028381347656,6,6,1,-5.6875002309679985,5.562499985098839,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0021,adjective_agreement,"masc noun, femn adj",-31.83561897277832,-37.555938720703125,9,8,1,-4.531249977648258,5.843749918043613,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0022,adjective_agreement,"femn noun, masc adj",-38.722564697265625,-49.921852111816406,6,6,1,-4.796874932944775,5.203125037252903,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0023,adjective_agreement,"femn noun, neut adj",-33.391117095947266,-39.580116271972656,8,8,1,-5.328125201165676,5.406250208616257,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0024,adjective_agreement,"femn noun, masc adj",-33.48188781738281,-32.65431594848633,8,8,0,-4.578124932944775,5.390624821186066,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0025,adjective_agreement,"femn noun, neut adj",-32.67402648925781,-33.39628982543945,8,8,1,-5.109374947845936,5.8125001303851604,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0026,adjective_agreement,"femn noun, neut adj",-40.42841339111328,-46.46051025390625,14,14,1,-4.624999895691872,4.703124836087227,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0027,adjective_agreement,"femn noun, masc adj",-32.20864486694336,-35.63960266113281,7,7,1,-5.031250067055225,4.8281247690320015,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0028,adjective_agreement,"neut noun, masc adj",-36.87989044189453,-37.438899993896484,9,9,1,-6.171875067055225,5.203125137835741,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0029,adjective_agreement,"masc noun, neut adj",-31.866472244262695,-33.516746520996094,10,10,1,-6.203125078231096,6.9062497690320015,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0030,adjective_agreement,"femn noun, neut adj",-37.51432800292969,-38.770599365234375,7,7,1,-4.843749970197678,4.249999962747097,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0031,adjective_agreement,"femn noun, masc adj",-36.76696014404297,-40.91167449951172,14,14,1,-4.703124828636646,5.421874862164259,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0032,adjective_agreement,"masc noun, neut adj",-39.47625732421875,-36.8796501159668,7,7,0,-5.62500012665987,5.749999791383743,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0033,adjective_agreement,"femn noun, neut adj",-28.867719650268555,-31.258403778076172,7,7,1,-4.828124865889549,5.515625100582838,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0034,adjective_agreement,"femn noun, masc adj",-30.372695922851562,-41.02738952636719,7,7,1,-3.265625089406967,4.859374970197678,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0035,adjective_agreement,"femn noun, neut adj",-48.980186462402344,-51.70699691772461,13,13,1,-5.062499932944775,4.2343751192092896,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0036,adjective_agreement,"femn noun, neut adj",-34.042724609375,-36.41987609863281,7,7,1,-6.421875160187483,4.968749888241291,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0037,adjective_agreement,"masc noun, femn adj",-38.43428039550781,-37.76509094238281,6,6,0,-3.812500074505806,4.328124955296516,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0038,adjective_agreement,"femn noun, masc adj",-44.26993942260742,-48.32249069213867,13,13,1,-4.359374895691872,4.343749925494194,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0039,adjective_agreement,"femn noun, masc adj",-34.44144058227539,-36.87384033203125,7,7,1,-4.859374992549419,6.015625070780516,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0040,adjective_agreement,"neut noun, femn adj",-48.333099365234375,-50.55253219604492,14,14,1,-4.859374910593033,5.921875111758709,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0041,adjective_agreement,"femn noun, masc adj",-35.35126495361328,-37.691410064697266,7,8,1,-5.812499810010195,5.4687501564621925,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0042,adjective_agreement,"femn noun, masc adj",-31.867645263671875,-39.52395248413086,8,8,1,-5.1093749068677425,6.593749839812517,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0043,adjective_agreement,"masc noun, femn adj",-35.904624938964844,-36.153717041015625,9,8,1,-4.437500223517418,6.031250037252903,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0044,adjective_agreement,"neut noun, masc adj",-43.998329162597656,-43.81794738769531,16,16,0,-6.031250037252903,5.578124783933163,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0045,adjective_agreement,"masc noun, neut adj",-35.98966979980469,-41.27306365966797,6,6,1,-5.640624858438969,5.984374821186066,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0046,adjective_agreement,"neut noun, femn adj",-47.840232849121094,-43.93260955810547,8,8,0,-3.8593751192092896,3.906250149011612,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0047,adjective_agreement,"neut noun, masc adj",-55.051910400390625,-46.43604278564453,8,8,0,-4.546875104308128,4.374999850988388,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0048,adjective_agreement,"neut noun, femn adj",-42.75328826904297,-34.29551696777344,7,7,0,-4.734374828636646,4.796875089406967,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0049,adjective_agreement,"femn noun, neut adj",-36.07046127319336,-40.399169921875,10,10,1,-4.968750163912773,3.9531248211860657,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0050,adjective_agreement,"masc noun, neut adj",-38.44597625732422,-42.98651123046875,12,12,1,-5.656249942258,6.031249929219484,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0051,adjective_agreement,"masc noun, neut adj",-40.87761688232422,-44.17850875854492,14,14,1,-5.203125189989805,6.234374977648258,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0052,adjective_agreement,"femn noun, neut adj",-36.00996398925781,-37.89911651611328,7,7,1,-4.7187498062849045,6.515625134110451,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0053,adjective_agreement,"femn noun, masc adj",-42.94060516357422,-46.18613815307617,14,14,1,-5.328125171363354,5.5937498062849045,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0054,adjective_agreement,"neut noun, masc adj",-46.31684875488281,-39.44966125488281,9,10,0,-4.5625001192092896,5.500000149011612,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0055,adjective_agreement,"femn noun, masc adj",-29.473979949951172,-39.38572311401367,7,7,1,-4.078124798834324,5.343749973922968,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0056,adjective_agreement,"masc noun, femn adj",-30.05507469177246,-33.00275802612305,7,7,1,-4.484375029802322,5.6875001192092896,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0057,adjective_agreement,"masc noun, femn adj",-43.28714370727539,-41.88737869262695,14,14,0,-3.624999985098839,3.999999836087227,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0058,adjective_agreement,"masc noun, neut adj",-40.13239669799805,-38.01109313964844,9,9,0,-4.921875052154064,5.062500052154064,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0059,adjective_agreement,"femn noun, neut adj",-35.767601013183594,-43.931793212890625,9,9,1,-5.765624765306711,4.578125059604645,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0060,adjective_agreement,"femn noun, neut adj",-38.387115478515625,-40.86247634887695,14,14,1,-5.953125163912773,5.515625070780516,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0061,adjective_agreement,"masc noun, neut adj",-37.010623931884766,-43.945457458496094,7,7,1,-3.6562501043081284,3.890624836087227,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0062,adjective_agreement,"femn noun, neut adj",-31.538122177124023,-37.726593017578125,7,7,1,-4.859375238418579,5.968750067055225,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0063,adjective_agreement,"femn noun, neut adj",-35.67863464355469,-43.20222854614258,9,9,1,-5.687499925494194,4.031250111758709,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0064,adjective_agreement,"femn noun, masc adj",-33.621524810791016,-37.30961608886719,9,9,1,-5.312500074505806,4.890624761581421,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0065,adjective_agreement,"femn noun, masc adj",-31.01527976989746,-33.11329650878906,9,9,1,-4.312499992549419,5.296874813735485,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0066,adjective_agreement,"masc noun, neut adj",-30.00208282470703,-37.73393249511719,7,7,1,-4.187500014901161,6.062499925494194,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0067,adjective_agreement,"neut noun, masc adj",-32.12238311767578,-33.065711975097656,7,8,1,-4.718749888241291,4.6875001937150955,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0068,adjective_agreement,"femn noun, neut adj",-30.047937393188477,-29.820323944091797,7,7,0,-6.140624858438969,6.4218749068677425,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0069,adjective_agreement,"femn noun, masc adj",-42.18071746826172,-48.663875579833984,13,13,1,-4.343749828636646,5.062500052154064,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0070,adjective_agreement,"femn noun, neut adj",-34.056800842285156,-39.921356201171875,7,7,1,-5.593750022351742,6.203124765306711,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0071,adjective_agreement,"masc noun, neut adj",-34.27488708496094,-46.929107666015625,8,8,1,-4.500000208616257,5.375000014901161,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0072,adjective_agreement,"femn noun, masc adj",-36.51152801513672,-41.96388626098633,6,6,1,-3.9375000670552254,4.0468748807907104,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0073,adjective_agreement,"masc noun, femn adj",-41.438941955566406,-45.61359405517578,15,15,1,-4.171874970197678,5.640625044703484,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0074,adjective_agreement,"masc noun, femn adj",-37.353214263916016,-37.65460968017578,9,9,1,-4.703124985098839,6.562499985098839,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0075,adjective_agreement,"neut noun, femn adj",-33.24266815185547,-29.43975257873535,7,7,0,-5.5468751192092896,4.4374998435378075,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0076,adjective_agreement,"femn noun, masc adj",-37.91969299316406,-44.01280975341797,14,14,1,-5.781250152736902,5.749999798834324,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0077,adjective_agreement,"masc noun, neut adj",-26.487693786621094,-39.133872985839844,10,10,1,-5.531250201165676,6.015624865889549,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0078,adjective_agreement,"masc noun, femn adj",-31.831493377685547,-34.794281005859375,8,8,1,-4.640624802559614,6.98437487334013,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0079,adjective_agreement,"neut noun, femn adj",-39.663841247558594,-36.818153381347656,7,7,0,-6.5312501192092896,5.656250216066837,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0080,adjective_agreement,"masc noun, femn adj",-36.95032501220703,-38.16529083251953,7,7,1,-4.968750037252903,6.624999847263098,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0081,adjective_agreement,"masc noun, neut adj",-30.30898666381836,-38.792415618896484,10,9,1,-4.953125223517418,5.171875163912773,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0082,adjective_agreement,"femn noun, neut adj",-36.87881088256836,-38.469383239746094,7,7,1,-5.703124780207872,6.406250074505806,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0083,adjective_agreement,"femn noun, masc adj",-35.65304946899414,-36.74870681762695,8,9,1,-4.359375178813934,4.218749776482582,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0084,adjective_agreement,"masc noun, neut adj",-40.99559783935547,-45.107303619384766,10,10,1,-5.046874798834324,5.984374821186066,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0085,adjective_agreement,"femn noun, neut adj",-41.80554962158203,-46.63432312011719,14,14,1,-4.984375,4.828125216066837,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0086,adjective_agreement,"neut noun, masc adj",-33.621116638183594,-32.83580017089844,8,8,0,-5.60937512665987,4.734374865889549,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0087,adjective_agreement,"masc noun, femn adj",-41.99247741699219,-42.6904411315918,8,8,1,-3.5156248956918716,6.04687487334013,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0088,adjective_agreement,"neut noun, masc adj",-33.282936096191406,-34.846336364746094,8,8,1,-5.796874940395355,4.5156251564621925,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0089,adjective_agreement,"neut noun, femn adj",-32.46209716796875,-32.95293426513672,8,8,1,-5.796875108033419,5.406250208616257,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0090,adjective_agreement,"neut noun, femn adj",-36.775760650634766,-39.790218353271484,9,9,1,-4.249999895691872,4.874999865889549,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0091,adjective_agreement,"neut noun, femn adj",-35.814048767089844,-34.00179672241211,6,6,0,-3.765625089406967,4.9843748807907104,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0092,adjective_agreement,"femn noun, neut adj",-32.94585418701172,-42.437564849853516,7,7,1,-5.015625022351742,4.468750059604645,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0093,adjective_agreement,"femn noun, masc adj",-33.24291229248047,-36.9500846862793,7,7,1,-4.921874977648258,4.718749821186066,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0094,adjective_agreement,"neut noun, masc adj",-29.12221908569336,-27.83584213256836,7,7,0,-6.296874791383743,5.640625201165676,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0095,adjective_agreement,"femn noun, neut adj",-35.869205474853516,-39.369468688964844,8,8,1,-4.359374836087227,4.781250007450581,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0096,adjective_agreement,"femn noun, neut adj",-27.979408264160156,-34.45790100097656,7,7,1,-4.140624903142452,5.546874836087227,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0097,adjective_agreement,"femn noun, neut adj",-33.79975128173828,-39.46501922607422,6,6,1,-4.828124888241291,6.921875052154064,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0098,adjective_agreement,"neut noun, femn adj",-53.15032958984375,-45.42529296875,8,8,0,-4.406250052154064,4.421875,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0099,adjective_agreement,"masc noun, neut adj",-41.914459228515625,-45.328956604003906,12,12,1,-4.68749987334013,5.984374977648258,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0100,adjective_agreement,"femn noun, neut adj",-32.06159591674805,-37.90930938720703,8,9,1,-6.015625,5.281249821186066,0
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0101,adjective_agreement,"neut noun, femn adj",-40.671146392822266,-40.64448547363281,9,9,0,-3.6406249552965164,4.234374821186066,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0102,adjective_agreement,"femn noun, masc adj",-34.73239517211914,-35.43571472167969,7,7,1,-5.718749903142452,6.75000012665987,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0103,adjective_agreement,"masc noun, neut adj",-38.76848220825195,-39.477577209472656,13,13,1,-5.515624970197678,6.093750040978193,1
Qwen/Qwen2.5-1.5B-Instruct,adjective_agreement_0104,adjective_agreement,"femn noun, neut adj",-43.12895584106445,-43.947471618652344,14,15,1,-6.1718747690320015,5.734375163912773,0
